id,title,description,category,color,price,currency,discount_percent,created_at,size_available
26,Cable Knit Cardigan,"Warm and stylish cable knit cardigan.  This cardigan is made from thick, cozy knit material and features a button-up front and ribbed cuffs and hem.  Perfect for layering in cooler weather.",sweater,cream,2700,BDT,0,2024-11-13T17:20:00Z,S|M|L
27,Baseball Cap,Classic baseball cap for a sporty look.  This cap is made from durable material and features an adjustable strap for a comfortable fit.  Available in various colors and designs.,accessory,red,450,BDT,10,2025-03-28T11:00:00Z,ONESIZE
28,Drawstring Joggers,"Comfortable drawstring joggers for casual wear.  These joggers offer a relaxed fit and feature an elasticized drawstring waist and tapered legs.  Made from soft, comfortable fabric.",pants,grey,1250,BDT,22,2025-02-23T16:45:00Z,S|M|L|XL
29,Puffer Vest,Lightweight and warm puffer vest.  This vest is perfect for layering in cool weather and features a zip-up front and quilted design.  Available in various colors.,jacket,black,2000,BDT,0,2025-04-28T08:30:00Z,S|M|L
30,Raglan Sleeve Tee,"Casual raglan sleeve t-shirt with a sporty vibe.  This t-shirt features contrasting sleeves and a comfortable fit.  Made from soft, breathable fabric.",tshirt,grey|blue,870,BDT,18,2024-11-30T10:50:00Z,S|M|L
31,Relaxed Fit Jeans,"Comfortable relaxed fit jeans for everyday wear. These jeans offer a loose, comfortable fit and are perfect for casual wear. Made from durable denim.",jeans,light blue,2200,BDT,5,2025-01-12T19:00:00Z,30|32|34|36|38
32,Wrap Midi Dress,Flattering wrap midi dress with a feminine silhouette. This dress features a wrap design that accentuates the waist and a classic midi length. Perfect for various occasions.,dress,green,1650,BDT,0,2025-03-20T14:30:00Z,S|M|L
33,Short Sleeve Poplin Shirt,Crisp short sleeve poplin shirt for a polished look. This shirt is made from smooth poplin fabric and features a button-down front and a classic collar. Ideal for warm weather.,shirt,light blue,1500,BDT,15,2024-12-19T07:00:00Z,S|M|L|XL
34,Knit Jogger Pants,Comfortable knit jogger pants with a tapered leg. These pants are made from soft knit fabric and feature an elasticized waistband and tapered legs. Perfect for lounging or light activities.,leggings,dark grey,1000,BDT,10,2025-02-07T12:45:00Z,S|M|L
35,Pleated Skirt,"Elegant pleated skirt, suitable for both casual and formal settings. This skirt features sharp pleats and a flattering silhouette. Available in various lengths and fabrics.",skirt,pink,1150,BDT,28,2025-04-17T09:30:00Z,XS|S|M
36,Crew Neck Sweatshirt,"Classic crew neck sweatshirt for a comfortable and casual look. This sweatshirt is made from soft fleece fabric and features a ribbed collar, cuffs, and hem. Perfect for everyday wear.",sweater,forest green,1800,BDT,0,2024-11-16T13:15:00Z,S|M|L|XL
37,Bucket Hat,Trendy and practical bucket hat for sun protection. This hat is made from durable fabric and provides shade from the sun. Available in various colors and patterns.,accessory,white,350,BDT,20,2025-04-03T19:15:00Z,ONESIZE
38,Chambray Shirt,Lightweight and versatile chambray shirt. This shirt is made from breathable chambray fabric and features a button-down front and a classic collar. Can be dressed up or down.,shirt,light blue,1650,BDT,12,2025-02-27T08:30:00Z,S|M|L|XL
39,Bomber Jacket,"Classic bomber jacket with a modern twist. This jacket features a zip-up front, ribbed cuffs and hem, and a sleek silhouette. Available in various materials and colors.",jacket,burgundy,2800,BDT,0,2025-03-07T17:00:00Z,M|L|XL
40,Pocket Tee,"Simple and comfortable pocket t-shirt. This t-shirt features a chest pocket and a relaxed fit. Made from soft, breathable cotton.",tshirt,olive,740,BDT,25,2024-12-03T11:15:00Z,S|M|L
41,Bootcut Jeans,Classic bootcut jeans for a flattering silhouette. These jeans are fitted through the thigh and flare slightly from the knee down. Made from durable denim.,jeans,dark wash,2350,BDT,0,2025-01-17T10:45:00Z,28|30|32|34|36
42,Tiered Ruffle Dress,"Feminine tiered ruffle dress, perfect for special occasions. This dress features multiple tiers of ruffles and a flattering silhouette. Made from lightweight fabric.",dress,peach,1850,BDT,18,2025-03-27T13:00:00Z,S|M|L
43,Satin Blouse,Elegant satin blouse with a smooth and luxurious feel. This blouse is made from silky satin fabric and features a button-up front or a pullover style. Perfect for dressing up.,top,ivory,1600,BDT,10,2025-04-24T12:30:00Z,S|M|L
44,Thermal Leggings,"Warm and insulating thermal leggings for cold weather. These leggings are made from thick, insulating fabric and provide extra warmth. Ideal for winter activities or layering.",leggings,navy,1100,BDT,0,2025-02-12T15:45:00Z,S|M|L
45,Denim Shorts,Casual and comfortable denim shorts for summer. These shorts are made from classic denim fabric and feature a button closure and a variety of washes. Perfect for warm weather.,shorts,blue,1100,BDT,22,2025-04-07T11:00:00Z,28|30|32
46,V-Neck Sweater,"Classic v-neck sweater, a wardrobe staple. This sweater is made from soft knit material and features a v-neckline. Can be dressed up or down.",sweater,brown,2250,BDT,15,2024-11-22T08:30:00Z,S|M|L|XL
47,Sun Hat,Wide brim sun hat for stylish sun protection. This hat is made from lightweight material and provides shade from the sun. Perfect for outdoor activities.,accessory,natural,600,BDT,0,2025-03-17T14:45:00Z,ONESIZE
48,Track Pants,Athletic-style track pants with side stripes. These pants are made from comfortable fabric and feature an elasticized waistband and side stripes. Perfect for sports or casual wear.,pants,black|red,1450,BDT,8,2025-02-03T18:15:00Z,S|M|L|XL
49,Rain Jacket,Waterproof rain jacket to keep you dry in wet weather. This jacket is made from waterproof material and features a hood and zip-up front. Available in various colors and styles.,jacket,olive,2600,BDT,0,2025-04-27T16:00:00Z,S|M|L
50,Muscle Tee,"Fitted muscle tee to show off your physique. This t-shirt is designed to be fitted and accentuate the arms and chest. Made from soft, comfortable fabric.",tshirt,white,770,BDT,12,2024-12-10T15:45:00Z,M|L|XL
51,Skinny Fit Jeans,Modern skinny fit jeans for a sleek silhouette. These jeans are fitted throughout the leg and offer a contemporary look. Made from stretch denim for comfort.,jeans,black,2450,BDT,0,2025-01-30T09:00:00Z,28|30|32|34
52,Bodycon Midi Dress,Figure-hugging bodycon midi dress for a night out. This dress is designed to be fitted and accentuate your curves. Perfect for evening events.,dress,red,1750,BDT,20,2025-03-15T17:30:00Z,XS|S|M
53,Tie-Front Top,Flirty tie-front crop top. This top features a tie closure at the front and can be adjusted for a customized fit. Made from lightweight fabric.,top,polka dot,1300,BDT,28,2025-04-10T11:15:00Z,S|M
54,Fleece Lined Leggings,Extra warm fleece-lined leggings for winter. These leggings are lined with soft fleece for added warmth and comfort. Ideal for cold weather.,leggings,dark brown,1150,BDT,0,2025-02-20T10:00:00Z,S|M|L
55,Paper Bag Waist Skirt,Trendy paper bag waist skirt. This skirt features a high waist with a gathered top and a tie belt. Creates a stylish and flattering silhouette.,skirt,mustard,1350,BDT,10,2025-04-24T12:00:00Z,S|M|L
56,Hooded Sweatshirt,"Classic hooded sweatshirt for casual comfort. This sweatshirt is made from soft fleece fabric and features a drawstring hood, kangaroo pocket, and ribbed cuffs and hem. Perfect for everyday wear.",sweater,maroon,1950,BDT,5,2024-11-27T18:30:00Z,S|M|L|XL
57,Fedora Hat,Stylish fedora hat for a touch of sophistication. This hat is made from felt or straw and features a dented crown and a soft brim. Adds a touch of elegance to any outfit.,accessory,grey,650,BDT,0,2025-03-03T08:45:00Z,ONESIZE
58,Corduroy Pants,Classic corduroy pants with a soft texture. These pants are made from durable corduroy fabric and feature a straight leg or a slightly tapered fit. Perfect for cooler weather.,pants,olive,1900,BDT,15,2025-01-20T13:00:00Z,30|32|34|36
59,Anorak Jacket,Lightweight anorak jacket for outdoor activities. This jacket is made from water-resistant material and features a hood and a zip-up front. Ideal for hiking or casual wear.,jacket,teal,2750,BDT,0,2025-04-01T10:15:00Z,S|M|L|XL
60,Ringer Tee,"Retro-inspired ringer tee with contrasting trim. This t-shirt features a contrasting color around the collar and cuffs. Made from soft, comfortable fabric.",tshirt,white|black,820,BDT,18,2024-12-05T14:00:00Z,S|M|L
61,Boyfriend Jeans,"Relaxed and comfortable boyfriend jeans. These jeans offer a loose, slightly oversized fit and are perfect for a casual, laid-back look. Made from durable denim.",jeans,medium wash,2150,BDT,0,2025-01-25T15:30:00Z,28|30|32|34
62,Slip Dress,Elegant and simple slip dress. This dress features a minimalist design with thin straps and a flowing silhouette. Can be dressed up or down for various occasions.,dress,champagne,1700,BDT,20,2025-03-10T16:45:00Z,S|M|L
63,Wrap Top,Flattering wrap top with a tie closure. This top features a wrap design that accentuates the waist and creates a stylish silhouette. Made from lightweight fabric.,top,striped,1400,BDT,25,2025-04-15T10:30:00Z,S|M
64,Pencil Skirt,"Classic pencil skirt for a professional look. This skirt is fitted and falls to the knee, creating a sleek and polished silhouette. Perfect for office wear or formal events.",skirt,burgundy,1200,BDT,12,2025-04-29T11:00:00Z,XS|S|M|L
65,Turtleneck Sweater,Warm and cozy turtleneck sweater. This sweater features a high neckline that provides extra warmth. Made from soft knit material and available in various colors.,sweater,rust,2500,BDT,0,2024-11-18T09:45:00Z,S|M|L|XL
66,Newsboy Cap,Stylish and retro newsboy cap. This cap features a rounded crown and a small brim. Adds a vintage touch to any outfit.,accessory,brown,500,BDT,0,2025-03-01T17:00:00Z,ONESIZE
67,Sweatpants,Comfortable and relaxed sweatpants. These pants are made from soft fleece fabric and feature an elasticized waistband and a relaxed fit. Perfect for lounging or casual wear.,pants,dark grey,1150,BDT,22,2025-02-10T14:15:00Z,S|M|L|XL
68,Parka Jacket,"Warm and durable parka jacket for cold weather. This jacket is made from heavy-duty material and features a hood, zip-up front, and multiple pockets. Designed to withstand harsh conditions.",jacket,dark green,3000,BDT,0,2025-04-05T09:30:00Z,S|M|L|XL
69,Long Sleeve Tee,"Basic and versatile long sleeve tee. This t-shirt features long sleeves and a classic fit. Made from soft, breathable cotton and perfect for layering.",tshirt,heather grey,900,BDT,10,2024-12-07T12:00:00Z,S|M|L|XL
70,Flared Jeans,Trendy flared jeans with a retro vibe. These jeans are fitted through the thigh and flare out from the knee down. Offer a stylish and elongated silhouette.,jeans,medium wash,2250,BDT,0,2025-01-27T13:30:00Z,28|30|32|34
71,Halter Dress,Elegant halter dress for a special occasion. This dress features a halter neckline and a flowing silhouette. Perfect for evening events or parties.,dress,navy,1800,BDT,18,2025-03-13T15:00:00Z,S|M|L
72,Peasant Top,Boho-inspired peasant top with flowy sleeves. This top features a relaxed fit and flowy sleeves. Often adorned with embroidery or lace details. Perfect for a bohemian look.,top,embroidered,1350,BDT,20,2025-04-18T11:45:00Z,S|M
73,Culottes,"Stylish and comfortable culottes. These pants are wide-legged andcropped, offering a modern and relaxed alternative to traditional pants. Made from various fabrics.",pants,black,1250,BDT,15,2025-04-02T16:15:00Z,S|M|L
74,Cardigan,Classic cardigan for layering. This sweater features a button-up front and can be worn over other tops or dresses. Made from soft knit material.,sweater,light grey,2400,BDT,5,2024-11-20T10:00:00Z,S|M|L|XL
75,Visor,Sporty and practical visor. This headwear provides shade from the sun while allowing for ventilation. Often used for sports or outdoor activities.,accessory,white,300,BDT,20,2025-03-20T18:00:00Z,ONESIZE
76,Jogger Shorts,Comfortable jogger shorts for casual wear. These shorts are made from soft fabric and feature an elasticized waistband. Perfect for lounging or light activities.,shorts,grey,1000,BDT,22,2025-02-17T07:30:00Z,S|M|L
77,Windbreaker Jacket,Lightweight windbreaker jacket. This jacket is designed to protect against wind and light rain. Features a zip-up front and a hood. Ideal for outdoor activities.,jacket,royal blue,2400,BDT,0,2025-04-20T10:00:00Z,S|M|L|XL
78,Ringer T-Shirt,"Retro-style ringer t-shirt with contrast trim. This t-shirt features a contrasting color around the collar and cuffs, adding a vintage touch. Made from soft, comfortable fabric.",tshirt,red/white,800,BDT,15,2024-12-01T11:00:00Z,S|M|L
79,Straight Leg Jeans,Classic straight leg jeans. These jeans offer a timeless silhouette with a straight fit from the hip to the ankle. Made from durable denim and available in various washes.,jeans,dark wash,2200,BDT,0,2025-01-20T12:30:00Z,30|32|34|36
80,A-Line Dress,"Flattering A-line dress. This dress is fitted at the bodice and flares out from the waist, creating a classic and feminine silhouette. Can be dressed up or down.",dress,teal,1600,BDT,18,2025-03-08T14:00:00Z,S|M|L
81,Lace Top,Elegant lace top. This top is made from delicate lace fabric and adds a touch of sophistication to any outfit. Can be worn for special occasions or dressed down for a more casual look.,top,ivory,1500,BDT,10,2025-04-12T09:45:00Z,S|M
82,Palazzo Pants,"Wide-leg palazzo pants. These pants are flowy and comfortable, with a wide leg opening. Perfect for warm weather and creating a stylish, bohemian look.",pants,floral print,1300,BDT,25,2025-04-26T13:15:00Z,S|M|L
83,Cashmere Sweater,Luxurious cashmere sweater. This sweater is made from incredibly soft and warm cashmere wool. A high-quality staple for your wardrobe.,sweater,camel,3000,BDT,0,2024-11-15T11:00:00Z,S|M|L|XL
84,Beret,"Chic beret. This hat is a soft, round, and flat-crowned hat, typically made of felted wool. Adds a touch of French style to any outfit.",accessory,black,450,BDT,0,2025-03-01T15:30:00Z,ONESIZE
85,Running Shorts,"Lightweight running shorts. These shorts are designed for running and other athletic activities. Made from breathable, moisture-wicking fabric.",shorts,neon green,900,BDT,20,2025-02-05T08:00:00Z,S|M|L
86,Track Jacket,"Sporty track jacket. This jacket is designed for athletic activities or casual wear. Features a zip-up front and often has contrasting stripes. Made from durable, comfortable fabric.",jacket,navy/white,2300,BDT,0,2025-04-10T14:30:00Z,S|M|L|XL
87,V-Neck Tee,"Basic v-neck t-shirt. This t-shirt features a v-neckline and a classic fit. Made from soft, breathable cotton and perfect for everyday wear.",tshirt,sky blue,750,BDT,10,2024-12-03T10:30:00Z,S|M|L
88,Slim Bootcut Jeans,Slim fitting bootcut jeans. These jeans are fitted through the thigh and slightly flare out from the knee down. Offer a modern take on the classic bootcut silhouette.,jeans,dark indigo,2300,BDT,0,2025-01-22T11:00:00Z,28|30|32|34
89,Maxi Dress,"Elegant maxi dress. This dress is long and flowing, often reaching the ankles or the floor. Perfect for formal occasions or summer events. Available in various styles and fabrics.",dress,emerald green,1900,BDT,18,2025-03-11T12:15:00Z,S|M|L
90,Button-Up Shirt,"Classic button-up shirt. This shirt features a button-down front, a collar, and long sleeves. Can be dressed up or down for various occasions. Made from various fabrics.",shirt,striped blue,1600,BDT,0,2024-12-18T09:00:00Z,S|M|L|XL
91,Cropped Leggings,"Cropped workout leggings. These leggings are shorter in length, typically ending below the knee. Perfect for workouts or warm weather. Made from stretchy, moisture-wicking fabric.",leggings,marled grey,950,BDT,15,2025-02-14T16:30:00Z,S|M|L
92,Plaid Skirt,Classic plaid skirt. This skirt features a plaid pattern and comes in various lengths and styles. Can be dressed up or down depending on the occasion.,skirt,red/black plaid,1100,BDT,28,2025-04-19T10:00:00Z,XS|S|M
93,Oversized Sweater,Cozy oversized sweater. This sweater is designed to be loose-fitting and comfortable. Perfect for casual wear and layering in cooler weather. Made from soft knit material.,sweater,off-white,2600,BDT,5,2024-11-29T14:00:00Z,S|M|L|XL
94,Wide Brim Hat,Stylish wide brim hat. This hat features a wide brim that provides sun protection and adds a touch of elegance. Perfect for sunny days or special events.,accessory,beige,550,BDT,0,2025-03-04T18:00:00Z,ONESIZE
95,Straight Leg Pants,Versatile straight leg pants. These pants offer a classic silhouette with a straight fit from the hip to the ankle. Can be dressed up or down for various occasions. Made from various fabrics.,pants,navy,1750,BDT,12,2025-02-24T09:45:00Z,30|32|34|36
96,Quilted Jacket,Warm quilted jacket. This jacket features a quilted design that provides insulation and warmth. Perfect for cold weather and layering. Available in various styles and colors.,jacket,brown,2900,BDT,0,2025-04-24T15:30:00Z,S|M|L|XL
97,Crew Neck Tee,"Basic crew neck t-shirt. This t-shirt features a round neckline and a classic fit. Made from soft, breathable cotton and perfect for everyday wear.",tshirt,teal,700,BDT,20,2024-12-07T10:00:00Z,S|M|L
98,High-Waisted Jeans,"Flattering high-waisted jeans. These jeans sit at or above the natural waistline, creating a stylish and elongated silhouette. Available in various styles and washes.",jeans,black wash,2400,BDT,0,2025-01-27T11:30:00Z,28|30|32|34
99,Midi Wrap Dress,Elegant midi wrap dress. This dress features a wrap design that accentuates the waist and a classic midi length. Perfect for various occasions and body types.,dress,dusty rose,1750,BDT,18,2025-03-14T13:00:00Z,S|M|L
100,Sleeveless Blouse,Chic sleeveless blouse. This top features a sleeveless design and can be dressed up or down. Made from various fabrics and available in various styles.,top,white,1450,BDT,10,2025-04-17T09:00:00Z,S|M
101,Men's Slim Fit Dress Shirt,Classic slim fit dress shirt for formal occasions.  Available in various collar styles and cuff options. Made from high-quality cotton.,shirt,white,1899,BDT,0,2024-11-12T10:00:00Z,S|M|L|XL
102,Men's Straight Leg Jeans,Durable straight leg jeans in a classic blue wash.  Comfortable for everyday wear with a timeless style.  Made from sturdy denim.,jeans,blue,2299,BDT,0,2025-01-15T14:30:00Z,30|32|34|36
103,Men's Crew Neck T-Shirt,Soft and comfortable crew neck t-shirt in a variety of solid colors.  Perfect for casual wear and layering. Made from 100% cotton.,tshirt,grey,799,BDT,10,2024-12-20T11:15:00Z,S|M|L|XL
104,Men's V-Neck Sweater Vest,Classic v-neck sweater vest for a refined look.  Ideal for layering over shirts. Made from fine-knit merino wool.,sweater,navy,2099,BDT,15,2025-02-18T09:45:00Z,S|M|L|XL
105,Men's Athletic Shorts,Lightweight and breathable athletic shorts for workouts or sports.  Features an elastic waistband and moisture-wicking fabric.,shorts,black,950,BDT,0,2025-03-08T16:00:00Z,S|M|L
106,Men's Bomber Jacket,Stylish bomber jacket with a zip-up front.  A versatile piece for casual wear. Made from durable twill fabric.,jacket,olive,2899,BDT,0,2024-10-30T17:00:00Z,S|M|L|XL
107,Men's Leather Belt,Genuine leather belt with a classic buckle.  Adds a touch of sophistication to any outfit.,accessory,brown,650,BDT,5,2025-03-10T08:30:00Z,30|32|34|36
108,Men's Chino Pants,Versatile chino pants in a slim or straight fit.  Perfect for smart-casual occasions. Made from comfortable cotton twill.,pants,beige,1999,BDT,0,2025-02-22T12:00:00Z,30|32|34|36
109,Men's Hooded Sweatshirt,Comfortable hooded sweatshirt with a drawstring.  Great for casual wear and layering. Made from soft fleece fabric.,hoodie,charcoal,1850,BDT,0,2025-04-03T14:15:00Z,S|M|L|XL
110,Men's Polo Shirt,Classic polo shirt with a button placket.  A timeless style for a refined casual look. Made from breathable pique cotton.,tshirt,blue,1050,BDT,10,2024-11-28T11:00:00Z,S|M|L|XL
111,Men's Dress Trousers,Formal dress trousers with a tailored fit.  Ideal for business or special occasions. Made from fine wool fabric.,pants,black,2450,BDT,0,2025-01-10T10:30:00Z,30|32|34|36
112,Men's Long Sleeve Henley,Casual long sleeve henley shirt with a buttoned neckline.  Offers a relaxed and stylish look. Made from soft cotton.,shirt,navy,1650,BDT,0,2024-12-05T09:00:00Z,S|M|L|XL
113,Men's Swim Trunks,Quick-drying swim trunks for beach or pool.  Features a comfortable elastic waistband and drawstring.,shorts,navy|white stripe,1200,BDT,20,2025-03-15T17:45:00Z,S|M|L|XL
114,Men's Cable Knit Sweater,"Warm and stylish cable knit sweater.  Perfect for cooler weather. Made from thick, cozy wool.",sweater,cream,2600,BDT,0,2024-11-20T16:15:00Z,S|M|L|XL
115,Men's Baseball Cap,Classic baseball cap with an adjustable strap.  A sporty and casual accessory.,accessory,blue,400,BDT,10,2025-04-08T11:00:00Z,ONESIZE
116,Men's Cargo Pants,Durable cargo pants with multiple pockets.  Practical for outdoor activities or casual wear. Made from sturdy cotton twill.,pants,khaki,1750,BDT,0,2025-02-05T13:30:00Z,30|32|34|36
117,Men's Down Vest,Lightweight and warm down vest for layering.  Provides core warmth without restricting movement.,jacket,black,2100,BDT,18,2025-04-25T09:30:00Z,S|M|L|XL
118,Men's Graphic T-Shirt,Casual t-shirt with a unique graphic print.  Express your style with a bold design. Made from soft cotton.,tshirt,black|white graphic,850,BDT,0,2024-12-28T10:00:00Z,S|M|L|XL
119,Men's Plaid Flannel Shirt,Classic plaid flannel shirt for a rugged and casual look.  Perfect for layering. Made from soft brushed cotton.,shirt,red|black plaid,1550,BDT,0,2025-01-28T11:00:00Z,S|M|L|XL
120,Men's Track Jacket,Sporty track jacket with a zip-up front and striped detailing.  Ideal for athletic wear or casual style. Made from durable tricot fabric.,jacket,navy|white stripe,2300,BDT,0,2025-03-03T15:00:00Z,S|M|L|XL
121,Men's Slim Fit Suit Jacket,Modern slim fit suit jacket for a sharp and tailored look.  Perfect for formal occasions. Made from fine wool blend.,jacket,navy,3500,BDT,0,2024-11-18T14:00:00Z,38R|40R|42R
122,Men's Slim Fit Suit Pants,Matching slim fit suit pants to complete the formal look.  Features a tapered leg and a flat front.,pants,navy,2200,BDT,0,2025-01-22T16:00:00Z,30|32|34|36
123,Men's Oxford Button-Down Shirt,"Classic oxford button-down shirt, a versatile wardrobe staple.  Can be dressed up or down. Made from durable oxford cotton.",shirt,light blue,1750,BDT,0,2024-12-12T13:00:00Z,S|M|L|XL
124,Men's Rugby Shirt,Rugged and sporty rugby shirt with a classic striped design.  Features a buttoned placket and a durable construction.,tshirt,navy|red stripe,1400,BDT,10,2025-02-10T10:30:00Z,S|M|L|XL
125,Men's Twill Shorts,Casual and comfortable twill shorts for warm weather.  Features a relaxed fit and multiple pockets. Made from soft cotton twill.,shorts,stone,1100,BDT,20,2025-03-20T09:00:00Z,30|32|34|36
126,Men's Peacoat,Classic double-breasted peacoat for a timeless and sophisticated look.  Made from heavy wool blend for warmth.,jacket,navy,4000,BDT,0,2024-10-28T18:00:00Z,S|M|L|XL
127,Men's Knit Scarf,Warm and soft knit scarf for winter wear.  Adds a touch of style and comfort.,accessory,charcoal,500,BDT,0,2025-03-05T11:30:00Z,ONESIZE
128,Men's Corduroy Trousers,"Stylish corduroy trousers with a soft, textured feel.  Perfect for fall and winter. Made from durable corduroy fabric.",pants,brown,1900,BDT,15,2025-02-15T14:00:00Z,30|32|34|36
129,Men's Quilted Jacket,Lightweight quilted jacket for added warmth and style.  Features a diamond-quilted pattern and a zip-up front.,jacket,black,2500,BDT,0,2025-04-01T12:45:00Z,S|M|L|XL
130,Men's Linen Shirt,Lightweight and breathable linen shirt for warm weather.  Offers a relaxed and comfortable fit. Made from 100% linen.,shirt,white,1800,BDT,20,2025-03-25T10:00:00Z,S|M|L|XL
131,Men's Slim Fit Polo,Modern slim fit polo shirt for a tailored look.  Made from breathable pique cotton.,tshirt,black,1150,BDT,10,2024-11-15T15:30:00Z,S|M|L|XL
